file,page_num,line_num,text,lang,lang_score,perplex,categ
CTX199904249,794,5,Turnov (okr. Semily). Sobotecká ul. ppč. 1818/46,slk_Latn,0.5463,1543.29,Trash
CTX199904249,794,6,SONDA,kor_Hang,0.6782,3207.85,Trash
CTX199904249,794,7,mi 1,vie_Latn,0.9202,2279.51,Trash
CTX199904249,794,8,OBJEKT,vie_Latn,0.3706,339.94,Noisy
CTX199904249,794,9,uD! 1,deu_Latn,0.4655,856.24,Trash
CTX199904249,794,10,VRST1A,kor_Hang,0.9689,579.89,Trash
CTX199904249,794,12,DATUMNAL,ltz_Latn,0.9966,424.51,Noisy
CTX199904249,794,14,SACEK,vie_Latn,0.4761,3179.82,Trash
CTX199904249,794,16,NALEZ,deu_Latn,0.5767,9303.55,Trash
CTX199904249,794,17,"ker. maz., kam.",vie_Latn,0.2988,308.02,Noisy
CTX199904249,794,18,TYPKER,kor_Hang,0.3228,4378.16,Trash
CTX199904249,794,30,ATYPKER,kor_Hang,0.6738,2588.09,Trash
CTX199904249,794,33,LK-1 1,eng_Latn,0.3706,121.46,Noisy
CTX199904249,794,44,MAZANICE,yue_Hant,0.4861,1106.95,Trash
CTX199904249,794,46,ZA 1RK0STI,kor_Hang,0.9947,683.11,Trash
CTX199904249,794,48,UHLÍKY,deu_Latn,0.9178,137101.00,Trash
CTX199904249,794,50,JINÉ,bod_Tibt,0.3695,3770.67,Trash
CTX199904249,794,51,"2 kameny (1 drtidlo, 1 křemen)",ces_Latn,0.9999,920.79,Trash
CTX199904249,794,52,DATACE,kor_Hang,0.5265,3450.75,Trash
CTX199904249,794,53,kultura lužická,ces_Latn,0.9981,342.48,Noisy
CTX199904249,794,54,ULOŽENI,eng_Latn,0.3732,801.37,Trash
CTX199904249,794,55,OMCR Turnov,kor_Hang,0.9830,103307.34,Trash
CTX199904249,794,56,POZNÁMKA,deu_Latn,0.4857,281.56,Noisy
CTX199904249,794,57,Maškovy zahrady - prodejna Discount - Plus,ces_Latn,0.9704,1297.37,Trash
CTX199904249,794,58,P0ZNAMKA2,vie_Latn,0.4274,413.66,Noisy
CTX199904249,794,59,1 1,N/A,0,0,Non-text
CTX199904249,274,1,274,N/A,0,0,Non-text
CTX199904249,274,8,22.11.1998,N/A,0,0,Non-text
CTX199904249,274,9,07,N/A,0,0,Non-text
CTX199904249,274,10,C2,N/A,0,0,Non-text
CTX199904249,274,17,r,N/A,0,0,Non-text
CTX199904249,543,1,544,N/A,0,0,Non-text
CTX199904249,543,8,20.10.1998,N/A,0,0,Non-text
CTX199904249,543,17,I :20,N/A,0,0,Non-text
CTX199904249,179,1,179,N/A,0,0,Non-text
CTX199904249,179,5,A,N/A,0,0,Non-text
CTX199904249,179,7,A6/001/98,N/A,0,0,Non-text
